"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,105,0,1201,62475,27571,79969,80042,0,0,30414,0,49351,0,105,105,0,874,0,0,0,0,0,0,0,852,0,747,2711
"obs","obs",2005,97,0,1006,54474,11568,79049,49578,0,0,13934,0,28531,0,97,97,0,858,0,0,0,0,0,0,0,819,0,441,2630
"ensemble","rcp45",2025,83,0,397,53090,19604,76866,31664,0,0,6292,0,28407,0,105,83,0,810,0,0,0,0,0,0,0,768,0,58,1368
"CanESM2","rcp45",2025,49,0,1201,58405,19050,77162,50078,0,0,0,0,32546,0,100,49,0,667,0,0,0,0,0,0,0,651,0,38,197
"CCSM4","rcp45",2025,82,0,1126,41194,4907,68160,36381,0,0,1888,0,23169,0,105,82,0,820,0,0,0,0,0,0,0,788,0,52,1125
"CESM1-CAM5","rcp45",2025,88,0,1185,52810,2952,76841,37259,0,0,2123,0,31113,0,101,88,0,772,0,0,0,0,0,0,0,736,0,291,801
"CSIRO-Mk3-6-0","rcp45",2025,87,0,1065,52256,8842,78085,49355,0,0,8689,0,32970,0,96,87,0,802,0,0,0,0,0,0,0,754,0,323,1629
"GISS-E2R","rcp45",2025,96,0,1023,47943,20854,79159,72148,0,0,23084,0,32558,0,102,96,0,787,0,0,0,0,0,0,0,745,0,365,2171
"HadGEM2-ES","rcp45",2025,64,0,1187,43030,8363,65536,40231,0,0,5,0,27224,0,104,64,0,827,0,0,0,0,0,0,0,706,0,32,748
"MIROC-ESM","rcp45",2025,39,0,137,61952,26252,79473,4007,0,0,26,0,45365,0,99,39,0,874,0,0,0,0,0,0,0,782,0,118,1951
"MPI-ESM-LR","rcp45",2025,101,0,255,50136,21185,77740,44892,0,0,7987,0,41564,0,103,101,0,846,0,0,0,0,0,0,0,841,0,466,1900
"ensemble","rcp45",2055,32,0,1181,58205,20558,76792,11214,0,0,0,0,30568,0,105,32,0,733,0,0,0,0,0,0,0,688,0,3,335
"CanESM2","rcp45",2055,0,0,1201,3935,584,78925,2564,0,0,0,0,1157,0,7,0,0,475,0,0,0,0,0,0,0,445,0,0,16
"CCSM4","rcp45",2055,27,0,1179,53716,22491,73273,35972,0,0,0,0,23958,0,105,27,0,833,0,0,0,0,0,0,0,731,0,0,577
"CESM1-CAM5","rcp45",2055,66,0,1200,59585,19945,76885,24422,0,0,0,0,32661,0,105,66,0,771,0,0,0,0,0,0,0,731,0,3,216
"CSIRO-Mk3-6-0","rcp45",2055,53,0,1201,56948,7342,74108,25328,0,0,0,0,21104,0,105,53,0,607,0,0,0,0,0,0,0,591,0,22,162
"GISS-E2R","rcp45",2055,80,0,1145,39105,14855,79645,52918,0,0,11372,0,36197,0,94,80,0,739,0,0,0,0,0,0,0,703,0,295,2454
"HadGEM2-ES","rcp45",2055,0,0,1201,44643,17152,69308,16142,0,0,0,0,10736,0,105,0,0,545,0,0,0,0,0,0,0,409,0,0,64
"MIROC-ESM","rcp45",2055,0,0,1087,57188,26537,78683,7203,0,0,0,0,30429,0,105,0,0,856,0,0,0,0,0,0,0,781,0,0,234
"MPI-ESM-LR","rcp45",2055,105,0,572,61550,25260,77854,2887,0,0,0,0,41023,0,105,105,0,874,0,0,0,0,0,0,0,851,0,132,1878
"ensemble","rcp45",2085,4,0,1173,54056,26461,77595,12683,0,0,0,0,22312,0,105,4,0,809,0,0,0,0,0,0,0,651,0,1,256
"CanESM2","rcp45",2085,5,0,1198,979,1185,79060,1240,0,0,0,0,344,0,32,0,0,368,0,0,0,0,0,0,0,171,0,0,1
"CCSM4","rcp45",2085,24,0,1168,57649,26875,77151,27940,0,0,0,0,26010,0,105,23,0,831,0,0,0,0,0,0,0,703,0,0,608
"CESM1-CAM5","rcp45",2085,3,0,1201,55962,27033,76095,18367,0,0,0,0,11336,0,105,2,0,760,0,0,0,0,0,0,0,497,0,0,8
"CSIRO-Mk3-6-0","rcp45",2085,16,0,1195,57438,19582,76496,18342,0,0,0,0,11912,0,105,16,0,731,0,0,0,0,0,0,0,672,0,1,59
"GISS-E2R","rcp45",2085,46,0,1143,44665,15632,79314,53089,0,0,10114,0,37380,0,103,46,0,625,0,0,0,0,0,0,0,537,0,214,1745
"HadGEM2-ES","rcp45",2085,2,0,1199,39189,22794,77485,24005,0,0,0,0,6613,0,105,0,0,789,0,0,0,0,0,0,0,416,0,0,18
"MIROC-ESM","rcp45",2085,0,0,1117,44967,26817,79157,13890,0,0,0,0,20805,0,105,0,0,865,0,0,0,0,0,0,0,694,0,0,116
"MPI-ESM-LR","rcp45",2085,81,0,848,62007,26701,76977,1370,0,0,0,0,37445,0,105,81,0,855,0,0,0,0,0,0,0,838,0,47,1155
