"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,52,0,872,31238,13786,56452,44010,0,0,15207,0,28006,0,79,79,0,490,0,0,0,0,0,0,0,613,0,560,1729
"obs","obs",2005,48,0,716,27238,5784,56814,25664,0,0,6967,0,15896,0,73,73,0,620,0,0,0,0,0,0,0,520,0,331,1638
"ensemble","rcp45",2025,42,0,320,26548,9802,62142,17800,0,0,3146,0,15323,0,71,55,0,750,0,0,0,0,0,0,0,398,0,44,738
"CanESM2","rcp45",2025,24,0,1034,30473,10166,68852,29834,0,0,0,0,18263,0,50,24,0,391,0,0,0,0,0,0,0,335,0,28,133
"CCSM4","rcp45",2025,41,0,915,20631,2456,57342,19105,0,0,944,0,12764,0,64,49,0,750,0,0,0,0,0,0,0,407,0,39,606
"CESM1-CAM5","rcp45",2025,44,0,1050,26405,1477,56266,19420,0,0,1062,0,17517,0,54,48,0,513,0,0,0,0,0,0,0,441,0,218,594
"CSIRO-Mk3-6-0","rcp45",2025,44,0,874,26130,4422,58097,25208,0,0,4344,0,18250,0,58,54,0,590,0,0,0,0,0,0,0,458,0,242,1037
"GISS-E2R","rcp45",2025,48,0,738,23988,10427,62988,37240,0,0,11542,0,17548,0,74,70,0,592,0,0,0,0,0,0,0,464,0,274,1335
"HadGEM2-ES","rcp45",2025,32,0,1053,21565,4199,58114,21621,0,0,2,0,14483,0,55,34,0,654,0,0,0,0,0,0,0,361,0,24,407
"MIROC-ESM","rcp45",2025,20,0,71,30976,13126,61226,2587,0,0,13,0,23046,0,74,29,0,804,0,0,0,0,0,0,0,420,0,88,1054
"MPI-ESM-LR","rcp45",2025,50,0,212,25069,10592,65183,24845,0,0,3994,0,24925,0,62,61,0,572,0,0,0,0,0,0,0,538,0,350,1336
"ensemble","rcp45",2055,16,0,1022,29213,10286,60066,6334,0,0,0,0,16196,0,56,18,0,490,0,0,0,0,0,0,0,345,0,2,174
"CanESM2","rcp45",2055,0,0,1200,2449,292,47007,1395,0,0,0,0,829,0,4,0,0,238,0,0,0,0,0,0,0,222,0,0,8
"CCSM4","rcp45",2055,14,0,924,26918,11250,64021,19783,0,0,0,0,12189,0,56,14,0,715,0,0,0,0,0,0,0,366,0,0,288
"CESM1-CAM5","rcp45",2055,33,0,950,29920,9976,62977,14290,0,0,0,0,17776,0,52,33,0,468,0,0,0,0,0,0,0,366,0,2,114
"CSIRO-Mk3-6-0","rcp45",2055,26,0,946,28598,3682,61472,13961,0,0,0,0,11779,0,52,26,0,355,0,0,0,0,0,0,0,301,0,16,108
"GISS-E2R","rcp45",2055,40,0,932,19845,7428,70244,28582,0,0,5686,0,20341,0,67,59,0,581,0,0,0,0,0,0,0,425,0,221,1434
"HadGEM2-ES","rcp45",2055,0,0,1124,22901,8588,53411,9473,0,0,0,0,5515,0,52,0,0,298,0,0,0,0,0,0,0,204,0,0,32
"MIROC-ESM","rcp45",2055,0,0,1040,28827,13268,61756,3718,0,0,0,0,15243,0,73,0,0,770,0,0,0,0,0,0,0,390,0,0,117
"MPI-ESM-LR","rcp45",2055,52,0,432,30781,12630,60124,1787,0,0,0,0,20983,0,63,63,0,741,0,0,0,0,0,0,0,458,0,99,1042
"ensemble","rcp45",2085,2,0,972,27186,13233,60574,6483,0,0,0,0,11309,0,58,2,0,536,0,0,0,0,0,0,0,326,0,1,128
"CanESM2","rcp45",2085,2,0,1196,725,810,46228,624,0,0,0,0,180,0,17,0,0,188,0,0,0,0,0,0,0,88,0,0,0
"CCSM4","rcp45",2085,12,0,922,28841,13440,65052,14342,0,0,0,0,13095,0,60,12,0,724,0,0,0,0,0,0,0,352,0,0,304
"CESM1-CAM5","rcp45",2085,2,0,1019,28737,13526,60595,9594,0,0,0,0,5860,0,53,1,0,382,0,0,0,0,0,0,0,248,0,0,4
"CSIRO-Mk3-6-0","rcp45",2085,8,0,942,29069,9798,61430,10263,0,0,0,0,6327,0,54,8,0,408,0,0,0,0,0,0,0,336,0,1,32
"GISS-E2R","rcp45",2085,23,0,996,22646,7816,71517,29164,0,0,5057,0,20640,0,58,28,0,466,0,0,0,0,0,0,0,322,0,160,1020
"HadGEM2-ES","rcp45",2085,1,0,1026,19951,11419,58991,12104,0,0,0,0,3327,0,53,0,0,590,0,0,0,0,0,0,0,208,0,0,9
"MIROC-ESM","rcp45",2085,0,0,1115,23466,13430,64281,6955,0,0,0,0,10408,0,62,0,0,807,0,0,0,0,0,0,0,347,0,0,58
"MPI-ESM-LR","rcp45",2085,40,0,674,31284,13352,58911,856,0,0,0,0,18872,0,60,43,0,690,0,0,0,0,0,0,0,430,0,35,619
