"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,343,4,28484,64245,29349,79969,80611,0,0,2948,0,49456,0,105,105,0,874,105,0,0,0,0,0,0,2773,0,747,2711
"obs","obs",2005,3967,21506,52421,66670,31374,79633,77187,0,20,20,0,32720,0,3324,3136,11,8308,3125,0,0,0,0,0,0,6358,0,831,5898
"ensemble","rcp45",2025,18019,10480,43353,61363,55990,76038,67097,0,0,0,0,49757,28,43767,11157,2601,34992,8115,0,0,1937,0,0,57,32423,0,560,7757
"CanESM2","rcp45",2025,31994,21503,78916,74499,44548,77416,77507,0,0,0,0,43291,33,46540,2642,14,12751,131,0,0,24994,0,0,13269,2722,0,2574,224
"CCSM4","rcp45",2025,10412,28180,69157,65961,30542,65995,62946,0,0,0,0,26629,136,15279,6800,3543,9525,2599,0,0,3351,0,0,509,5825,0,791,2193
"CESM1-CAM5","rcp45",2025,5086,35924,64784,63934,10834,77469,77171,0,0,0,0,33089,168,4591,2158,174,2895,428,0,0,624,0,0,119,2682,0,2015,1054
"CSIRO-Mk3-6-0","rcp45",2025,4765,24169,54647,66464,20887,78828,77873,0,0,0,0,36034,3,2744,1935,4,2710,1321,0,0,209,0,0,103,2687,0,1176,2041
"GISS-E2R","rcp45",2025,3703,479,46040,72072,49943,80148,77892,0,0,0,0,36029,0,2503,2423,48,7483,2375,0,0,5,0,0,7,5998,0,626,4526
"HadGEM2-ES","rcp45",2025,10599,31825,76635,68795,25815,66844,65293,0,0,0,0,30480,39,17967,3215,127,4526,907,0,0,9052,0,0,671,3207,0,2270,825
"MIROC-ESM","rcp45",2025,4152,1348,3988,75413,76823,80121,76815,0,0,0,0,77076,0,72134,3978,22,75817,3956,0,0,1194,0,0,1,75540,0,177,3178
"MPI-ESM-LR","rcp45",2025,8961,7979,39140,53505,41358,78136,78191,0,0,0,0,59567,21,31377,2433,22,27296,1578,0,0,800,0,0,669,25897,0,1887,3739
"ensemble","rcp45",2055,11475,34847,51989,72645,62587,76919,72681,0,0,0,0,37526,3487,62846,4939,1605,38171,1161,0,0,28990,0,0,25539,29968,0,2348,1080
"CanESM2","rcp45",2055,16415,60736,80909,32983,76467,79392,32616,0,0,0,0,26775,58950,76523,1146,1655,74446,0,0,0,28342,0,0,78119,986,0,986,53
"CCSM4","rcp45",2055,14562,28015,69950,73509,57604,71514,68153,0,0,0,0,24989,1827,54179,6365,4444,16359,1301,0,0,32703,0,0,9791,11224,0,752,821
"CESM1-CAM5","rcp45",2055,20242,32566,63996,73486,54857,77071,74972,0,0,0,0,38430,1844,56370,5429,1908,25378,256,0,0,27557,0,0,24922,18828,0,3289,250
"CSIRO-Mk3-6-0","rcp45",2055,10453,49160,79966,75797,18330,74211,74015,0,0,0,0,22900,206,19943,2851,374,7019,108,0,0,13333,0,0,9424,2840,0,2593,172
"GISS-E2R","rcp45",2055,10642,2114,50257,61283,58025,79728,76476,0,0,0,0,45221,0,19125,4319,431,21232,3888,0,0,789,0,0,121,18501,0,527,6540
"HadGEM2-ES","rcp45",2055,21609,52733,80775,72348,64491,69250,62372,0,0,0,0,21782,7700,57101,2239,1691,21347,85,0,0,42384,0,0,49833,1323,0,1203,65
"MIROC-ESM","rcp45",2055,5511,35469,45767,75072,77449,78701,74042,0,0,0,0,34876,232,78552,5801,479,42787,4864,0,0,43251,0,0,37732,35642,0,538,1670
"MPI-ESM-LR","rcp45",2055,7719,12648,15392,72311,74838,78523,73855,0,0,0,0,66721,0,73174,6590,25,65640,5065,0,0,8942,0,0,9047,65338,0,1821,5486
"ensemble","rcp45",2085,11318,37750,58227,71845,73830,77271,70884,0,0,0,0,30254,6762,73996,5056,4095,38091,1126,0,0,45502,0,0,35951,24278,0,1717,868
"CanESM2","rcp45",2085,6425,74356,80906,34753,79959,80558,33126,0,0,0,0,24033,74924,79982,533,1502,79747,0,0,0,35035,0,0,79144,260,9,260,59
"CCSM4","rcp45",2085,9519,23132,56345,73529,71358,74976,71326,0,0,0,0,28261,1122,70860,6692,4390,30323,2048,0,0,40623,0,0,15499,25139,0,627,1699
"CESM1-CAM5","rcp45",2085,19622,41789,73715,72544,72189,75781,71124,0,0,0,0,20511,3672,72545,5635,5168,26876,70,0,0,57591,0,0,43247,10182,0,3004,62
"CSIRO-Mk3-6-0","rcp45",2085,16875,50662,78896,73891,45321,75902,72748,0,0,0,0,18655,2346,47196,4768,2499,14829,119,0,0,36293,0,0,27924,4571,0,2756,61
"GISS-E2R","rcp45",2085,11838,3516,57942,63525,56695,79553,78269,0,0,0,0,44083,0,21388,2522,261,15936,2146,0,0,3554,0,0,473,14072,0,488,3460
"HadGEM2-ES","rcp45",2085,19250,48605,80293,63981,79411,75274,61577,0,0,0,0,21977,19928,77647,1664,6253,38453,490,0,0,60993,0,0,54363,734,0,119,19
"MIROC-ESM","rcp45",2085,7462,32158,52446,72311,73787,76324,71567,0,0,0,0,28904,2031,79477,7968,1127,50586,7367,0,0,50878,0,0,37939,28627,0,198,325
"MPI-ESM-LR","rcp45",2085,9687,14842,20269,72961,77610,77535,73381,0,0,0,0,63021,0,76964,7364,3,64900,4400,0,0,13987,0,0,14363,63166,0,3101,4490
