"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,172,2,14496,54427,21606,75884,79682,0,0,1474,0,48972,0,79,79,0,500,79,0,0,0,0,0,0,1644,0,560,2185
"obs","obs",2005,1984,10755,33603,61365,22194,71065,65292,0,10,10,0,29818,0,2493,2352,6,6920,2344,0,0,0,0,0,0,4950,0,623,3364
"ensemble","rcp45",2025,9010,6102,31942,49946,39804,69808,60534,0,0,0,0,38725,14,32854,8252,1306,34102,6086,0,0,1437,0,0,44,20472,0,310,3938
"CanESM2","rcp45",2025,15997,11057,69684,56616,32774,73497,58518,0,0,0,0,32922,20,36407,1354,10,10399,98,0,0,17070,0,0,11134,2074,0,1306,150
"CCSM4","rcp45",2025,5206,19390,56776,52953,20879,61607,50127,0,0,0,0,21997,68,11472,4891,1806,8342,1949,0,0,2441,0,0,485,4434,0,418,1142
"CESM1-CAM5","rcp45",2025,2543,18666,50093,54481,7490,66381,57417,0,0,0,0,28588,84,3427,1187,128,2154,321,0,0,375,0,0,87,2116,0,1121,765
"CSIRO-Mk3-6-0","rcp45",2025,2382,12521,38996,57500,14598,70084,63979,0,0,0,0,33048,2,2042,1298,3,2217,991,0,0,110,0,0,75,2328,0,730,1324
"GISS-E2R","rcp45",2025,1852,242,26989,64951,33660,77150,77016,0,0,0,0,34104,0,1878,1817,24,6401,1781,0,0,2,0,0,4,4364,0,470,2580
"HadGEM2-ES","rcp45",2025,5300,21691,67023,51494,18367,63544,49273,0,0,0,0,24342,20,13592,1852,73,3628,680,0,0,6581,0,0,576,2630,0,1152,448
"MIROC-ESM","rcp45",2025,2076,732,3589,56815,56890,77678,75536,0,0,0,0,58120,0,54100,2984,11,75626,2969,0,0,895,0,0,1,39790,0,130,1673
"MPI-ESM-LR","rcp45",2025,4480,4115,28476,42848,30391,71780,72720,0,0,0,0,48674,10,23581,1611,16,25931,1184,0,0,513,0,0,586,14220,0,1207,2408
"ensemble","rcp45",2055,5738,18390,49518,52272,45703,74128,53551,0,0,0,0,28613,1843,48049,2810,1113,35814,871,0,0,21132,0,0,24448,16152,0,1178,548
"CanESM2","rcp45",2055,8208,41781,77375,25565,57830,60857,21862,0,0,0,0,17870,33975,62660,573,868,47364,0,0,0,21096,0,0,73833,740,0,493,40
"CCSM4","rcp45",2055,7281,17084,65064,54307,42657,70198,46615,0,0,0,0,19579,914,40676,4129,2679,14895,976,0,0,23944,0,0,9712,6450,0,376,410
"CESM1-CAM5","rcp45",2055,10121,16448,58840,52765,39695,74105,55994,0,0,0,0,29705,922,43796,2792,1415,23509,192,0,0,19644,0,0,23772,10364,0,1648,133
"CSIRO-Mk3-6-0","rcp45",2055,5226,26360,73579,60753,12868,72255,47892,0,0,0,0,17779,103,15426,1452,238,5676,81,0,0,9402,0,0,8482,2124,0,1310,114
"GISS-E2R","rcp45",2055,5321,1085,35262,53249,38222,74916,74259,0,0,0,0,37094,0,14358,3239,216,19766,2916,0,0,565,0,0,74,11338,0,395,3534
"HadGEM2-ES","rcp45",2055,10804,30704,74990,48746,46053,63895,38443,0,0,0,0,15276,4186,45516,1141,1083,16682,64,0,0,30796,0,0,47270,1005,0,602,32
"MIROC-ESM","rcp45",2055,2756,17970,44824,48564,57224,74488,52976,0,0,0,0,26050,122,60589,4175,291,42508,3656,0,0,32340,0,0,36099,20375,0,269,835
"MPI-ESM-LR","rcp45",2055,3860,6555,14977,52744,54486,76359,67658,0,0,0,0,50408,0,54926,4567,12,65022,3798,0,0,6681,0,0,9002,35657,0,990,2903
"ensemble","rcp45",2085,5659,19890,56886,48819,54406,73470,47607,0,0,0,0,21918,4081,56866,2861,2550,34397,844,0,0,33543,0,0,34732,13131,0,859,434
"CanESM2","rcp45",2085,3212,48262,79731,30716,62030,60104,17757,0,0,0,0,13196,47700,65720,269,819,49444,0,0,0,26204,0,0,77142,197,4,130,44
"CCSM4","rcp45",2085,4760,12761,55114,52224,52588,73784,48888,0,0,0,0,21420,561,53160,4577,2476,28887,1536,0,0,30089,0,0,15362,13755,0,314,850
"CESM1-CAM5","rcp45",2085,9811,21620,70990,47506,52334,71294,42856,0,0,0,0,14773,2105,56420,2837,3222,23524,52,0,0,42179,0,0,40925,5877,0,1502,31
"CSIRO-Mk3-6-0","rcp45",2085,8438,26332,74716,55674,32728,73026,43663,0,0,0,0,13884,1273,36700,2414,1724,13038,89,0,0,26514,0,0,26165,3034,0,1380,34
"GISS-E2R","rcp45",2085,5919,1804,42010,53907,38341,75944,74024,0,0,0,0,35765,0,16094,1863,130,15058,1610,0,0,2564,0,0,328,8244,0,337,1916
"HadGEM2-ES","rcp45",2085,9625,27428,77820,43262,59591,66305,33828,0,0,0,0,12363,12191,61055,954,3390,27049,368,0,0,44015,0,0,52670,641,0,60,10
"MIROC-ESM","rcp45",2085,3731,16259,50801,50323,55174,66415,46939,0,0,0,0,20347,1408,64643,5828,678,49699,5532,0,0,38006,0,0,33151,18002,0,99,162
"MPI-ESM-LR","rcp45",2085,4844,7500,19672,52179,56384,75647,65590,0,0,0,0,47355,0,58210,4782,2,64055,3299,0,0,10471,0,0,13922,34560,0,1586,2316
