"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,52,0,872,31238,13786,56452,44010,0,0,15207,0,28006,0,79,79,0,490,0,0,0,0,0,0,0,613,0,560,1729
"obs","obs",2005,1568,107,25997,31582,13168,57180,26074,0,0,11501,0,16353,0,2353,2349,6,5719,0,0,0,0,0,0,0,2276,0,623,3849
"ensemble","rcp45",2025,5295,5166,32633,28980,27539,62963,18105,0,0,5946,0,21829,0,12136,7188,1300,21494,0,0,0,1402,0,0,38,16086,0,88,3952
"CanESM2","rcp45",2025,1315,24675,68750,36141,23816,69220,30298,0,0,0,0,20891,4,22276,1347,7,4761,0,0,0,14748,0,0,9426,1380,0,57,142
"CCSM4","rcp45",2025,3088,19086,50990,24822,11970,58146,19506,0,0,3852,0,13134,0,6986,3584,1772,6012,0,0,0,2128,0,0,280,2798,0,68,1150
"CESM1-CAM5","rcp45",2025,1000,6547,51516,30406,4721,56693,19824,0,0,2424,0,18288,0,2360,1104,87,1578,0,0,0,318,0,0,92,1398,0,340,699
"CSIRO-Mk3-6-0","rcp45",2025,962,4248,35898,30280,8186,58586,25630,0,0,6876,0,19050,0,1665,1290,2,1968,0,0,0,68,0,0,75,1433,0,424,1264
"GISS-E2R","rcp45",2025,1212,26,13682,28891,16437,63380,37661,0,0,15126,0,18030,0,1830,1805,24,4934,0,0,0,4,0,0,5,1676,0,470,2953
"HadGEM2-ES","rcp45",2025,1521,28760,60332,27482,11456,58834,22021,0,0,808,0,15459,0,8982,1700,64,2539,0,0,0,6361,0,0,418,1611,0,52,448
"MIROC-ESM","rcp45",2025,1385,1626,4724,37625,35923,61943,2690,0,0,30,0,37693,0,3814,2076,11,39942,4,0,0,894,0,0,0,35348,0,126,1711
"MPI-ESM-LR","rcp45",2025,1206,3665,35346,26423,20449,65513,25254,0,0,4902,0,33128,0,5016,1600,11,14400,0,0,0,386,0,0,442,13016,0,790,2640
"ensemble","rcp45",2055,1880,28392,43709,35638,30638,60534,6538,0,0,0,0,17375,0,8776,2065,802,16890,0,0,0,6435,0,0,14514,14750,0,11,548
"CanESM2","rcp45",2055,1240,57018,80108,10598,16506,47312,1443,0,0,0,0,829,2196,13218,493,828,815,0,0,0,8782,0,0,55816,493,0,0,8
"CCSM4","rcp45",2055,2095,35026,55398,34306,28882,64827,20129,0,0,154,0,12204,0,18172,2234,2222,8682,0,0,0,17010,0,0,5032,5606,0,0,410
"CESM1-CAM5","rcp45",2055,1786,25220,53912,36046,27716,63367,14706,0,0,1,0,19323,0,12369,1840,954,11615,0,0,0,6684,0,0,14446,9417,0,11,132
"CSIRO-Mk3-6-0","rcp45",2055,1406,32097,63060,35375,9316,61873,14310,0,0,3,0,11810,0,7604,1350,187,2661,0,0,0,5486,0,0,5853,1434,0,42,110
"GISS-E2R","rcp45",2055,2146,1532,36248,23770,16714,70735,28978,0,0,6272,0,22616,0,6253,3111,216,12526,0,0,0,598,0,0,91,6621,0,395,4068
"HadGEM2-ES","rcp45",2055,1004,47664,69724,32537,28291,53874,9666,0,0,0,0,5524,2,14109,650,846,2698,0,0,0,9884,0,0,30945,661,0,0,32
"MIROC-ESM","rcp45",2055,1199,32510,37415,35394,38178,62526,3735,0,0,0,0,15557,0,10885,1613,240,20583,20,0,0,6082,0,0,19650,17294,0,0,835
"MPI-ESM-LR","rcp45",2055,3295,8791,15704,35890,36587,60783,1959,0,0,0,0,31281,0,5099,4561,12,35316,0,0,0,98,0,0,4597,31900,0,240,2928
"ensemble","rcp45",2085,2330,36844,47710,34531,36726,61046,6535,0,0,0,0,11514,15,13040,1604,2048,13976,0,0,0,10326,0,0,19552,12010,0,1,437
"CanESM2","rcp45",2085,740,63331,80372,4724,15277,46707,627,0,0,0,0,181,5069,13176,130,751,279,0,0,0,7143,0,0,53728,132,0,0,0
"CCSM4","rcp45",2085,2806,34578,44652,35772,35686,65881,14596,0,0,24,0,13213,0,17335,3035,2195,15788,0,0,0,18895,0,0,7921,12554,0,0,850
"CESM1-CAM5","rcp45",2085,2840,42681,60134,36503,38242,60886,9733,0,0,0,0,5964,0,17308,1552,2584,7158,0,0,0,14576,0,0,23880,5090,0,0,31
"CSIRO-Mk3-6-0","rcp45",2085,1700,39343,63515,37264,24108,61721,10607,0,0,0,0,6329,0,12204,1414,1250,3756,0,0,0,9549,0,0,15797,2287,0,5,34
"GISS-E2R","rcp45",2085,1220,3918,41910,27180,17839,72076,29587,0,0,5878,0,22562,0,7572,1736,130,8942,0,0,0,2638,0,0,355,5069,0,280,2171
"HadGEM2-ES","rcp45",2085,2666,50314,69147,28667,36080,59800,12239,0,0,0,0,3380,2,22119,73,3126,4072,0,0,0,15919,0,0,31936,366,0,0,10
"MIROC-ESM","rcp45",2085,532,35586,45018,29783,37678,65146,6957,0,0,0,0,10656,0,23224,316,564,18310,32,0,0,13012,0,0,20580,13967,0,0,162
"MPI-ESM-LR","rcp45",2085,3646,11337,18949,36730,38827,59531,919,0,0,0,0,28724,0,5982,4726,2,33834,0,0,0,829,0,0,7687,31245,0,106,2322
