"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,39116,0,516,45516,21170,55848,79772,0,0,1474,0,48734,0,116,79,0,506,79,0,0,0,0,0,0,1644,0,560,1946
"obs","obs",2005,41263,0,570,34484,16130,47886,76220,0,0,0,0,30700,0,110,73,0,579,73,0,0,0,0,0,0,2524,0,331,485
"ensemble","rcp45",2025,36434,0,223,38610,22100,48348,68644,0,0,0,0,29907,0,146,78,0,675,72,0,0,0,0,0,0,2026,0,58,82
"CanESM2","rcp45",2025,38394,0,693,38490,20594,57990,76802,0,0,0,0,29852,0,148,37,0,608,0,0,0,0,0,0,0,1535,0,365,52
"CCSM4","rcp45",2025,41289,0,740,33525,17392,45474,73262,0,0,0,0,24846,0,145,74,0,658,38,0,0,0,0,0,0,1598,0,48,66
"CESM1-CAM5","rcp45",2025,38996,0,751,29891,15694,52441,77875,0,0,0,0,27507,0,126,66,0,534,12,0,0,0,0,0,0,1722,0,302,302
"CSIRO-Mk3-6-0","rcp45",2025,39840,0,620,34115,16405,53030,78138,0,0,0,0,31967,0,113,66,0,563,32,0,0,0,0,0,0,1889,0,246,364
"GISS-E2R","rcp45",2025,42625,0,438,43108,18527,52766,78010,0,0,0,0,38750,0,115,72,0,556,72,0,0,0,0,0,0,2120,0,274,380
"HadGEM2-ES","rcp45",2025,38778,0,763,35184,20936,51196,76822,0,0,0,0,26466,0,145,50,0,628,8,0,0,0,0,0,0,1947,0,126,50
"MIROC-ESM","rcp45",2025,32575,0,27,45001,27705,54782,76538,0,0,0,0,37844,0,149,74,0,636,74,0,0,0,0,0,0,2596,0,93,118
"MPI-ESM-LR","rcp45",2025,30479,0,72,33719,23185,48909,74896,0,0,0,0,38293,0,116,76,0,544,32,0,0,0,0,0,0,2202,0,362,584
"ensemble","rcp45",2055,36979,0,753,35946,21159,52018,74269,0,0,0,0,29048,0,155,59,0,633,11,0,0,0,0,0,0,1614,0,311,10
"CanESM2","rcp45",2055,60328,0,750,8540,891,9449,64011,0,0,0,0,20275,0,172,2,0,572,0,0,0,0,0,0,0,554,0,334,35
"CCSM4","rcp45",2055,37337,0,761,38629,21426,53744,74239,0,0,0,0,23239,0,160,64,0,696,20,0,0,0,0,0,0,1212,0,90,0
"CESM1-CAM5","rcp45",2055,36860,0,762,35670,22111,55730,74420,0,0,0,0,29424,0,144,68,0,582,0,0,0,0,0,0,0,1820,0,376,10
"CSIRO-Mk3-6-0","rcp45",2055,42381,0,764,32112,21393,57093,77324,0,0,0,0,19185,0,147,44,0,632,0,0,0,0,0,0,0,1468,0,326,40
"GISS-E2R","rcp45",2055,37109,0,602,36027,17218,48239,74748,0,0,0,0,40664,0,125,62,0,560,62,0,0,0,0,0,0,2409,0,221,310
"HadGEM2-ES","rcp45",2055,39700,0,762,30497,18904,47515,74993,0,0,0,0,20429,0,173,41,0,713,0,0,0,0,0,0,0,730,0,268,0
"MIROC-ESM","rcp45",2055,33575,0,758,37409,21392,54502,73466,0,0,0,0,31669,0,172,79,0,684,62,0,0,0,0,0,0,2552,0,125,0
"MPI-ESM-LR","rcp45",2055,33086,0,288,42247,25888,53485,73746,0,0,0,0,35810,0,134,79,0,642,31,0,0,0,0,0,0,2502,0,141,155
"ensemble","rcp45",2085,36146,0,754,34597,21131,50371,74090,0,0,0,0,26431,0,166,72,0,662,17,0,0,0,0,0,0,1149,0,288,1
"CanESM2","rcp45",2085,61296,0,674,6503,1605,9765,64679,0,0,0,0,17489,0,177,14,0,620,2,0,0,0,0,0,0,153,0,122,35
"CCSM4","rcp45",2085,34420,0,762,39119,21428,53915,73975,0,0,0,0,26556,0,166,69,0,718,41,0,0,0,0,0,0,1142,0,64,0
"CESM1-CAM5","rcp45",2085,35535,0,762,33581,21383,48647,72936,0,0,0,0,22816,0,165,67,0,673,0,0,0,0,0,0,0,771,0,368,0
"CSIRO-Mk3-6-0","rcp45",2085,39203,0,762,31606,21412,52263,74003,0,0,0,0,17389,0,157,57,0,596,4,0,0,0,0,0,0,1476,0,428,4
"GISS-E2R","rcp45",2085,36270,0,522,35744,17398,52127,76742,0,0,0,0,39619,0,144,36,0,528,22,0,0,0,0,0,0,1797,0,160,222
"HadGEM2-ES","rcp45",2085,40576,0,763,27271,19351,41169,74853,0,0,0,0,19749,0,179,12,0,754,1,0,0,0,0,0,0,486,0,18,0
"MIROC-ESM","rcp45",2085,37668,0,752,38192,21390,49519,68100,0,0,0,0,26991,0,179,78,0,737,29,0,0,0,0,0,0,2211,0,49,0
"MPI-ESM-LR","rcp45",2085,33066,0,513,41482,25679,53218,72909,0,0,0,0,33794,0,140,76,0,625,22,0,0,0,0,0,0,2302,0,186,63
