"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,105,0,1201,62475,27571,79969,80042,0,0,30414,0,49351,0,105,105,0,874,0,0,0,0,0,0,0,852,0,747,2711
"obs","obs",2005,3136,143,35753,63163,26335,79492,50290,0,0,23002,0,29444,0,3143,3136,11,8308,0,0,0,0,0,0,0,4137,0,831,5898
"ensemble","rcp45",2025,10590,6488,42805,57952,55070,77692,32234,0,0,11892,0,41372,0,20214,10591,2601,34873,1,0,0,1927,0,0,57,32113,0,118,7754
"CanESM2","rcp45",2025,2630,39839,80645,68604,43953,77565,50790,0,0,0,0,37801,8,44485,2629,14,9391,0,0,0,23003,0,0,13271,2722,0,76,207
"CCSM4","rcp45",2025,6176,25110,66880,49074,23371,68998,37120,0,0,7705,0,23908,0,12649,6134,3543,9419,0,0,0,2954,0,0,506,5550,0,91,2193
"CESM1-CAM5","rcp45",2025,1999,9500,67629,60744,9374,77320,38016,0,0,4848,0,32648,0,4503,1993,174,2729,0,0,0,517,0,0,122,2570,0,453,927
"CSIRO-Mk3-6-0","rcp45",2025,1923,5790,48060,60541,16352,78631,50117,0,0,13752,0,34545,0,2669,1923,4,2615,0,0,0,126,0,0,103,2583,0,566,1955
"GISS-E2R","rcp45",2025,2423,38,19197,57740,32831,79626,72881,0,0,30251,0,33519,0,2465,2423,48,7474,0,0,0,9,0,0,7,3039,0,626,4526
"HadGEM2-ES","rcp45",2025,3042,40038,78521,53445,21393,66261,40981,0,0,1615,0,29170,0,17500,3023,127,4171,0,0,0,8871,0,0,655,3187,0,70,825
"MIROC-ESM","rcp45",2025,2770,2539,7325,75248,71845,80254,4174,0,0,61,0,74284,0,5655,2779,22,75817,9,0,0,1193,0,0,1,70602,0,168,3178
"MPI-ESM-LR","rcp45",2025,2412,5644,45204,52836,40888,78140,45609,0,0,9805,0,57969,0,9242,2412,22,27222,0,0,0,627,0,0,636,25505,0,1054,3695
"ensemble","rcp45",2055,3759,42640,54300,69713,59713,77285,11515,0,0,0,0,32926,0,16891,3599,1605,32618,0,0,0,10430,0,0,25539,29492,0,15,1080
"CanESM2","rcp45",2055,2481,76980,80909,14875,26689,79365,2632,0,0,0,0,1157,4373,25689,986,1655,1630,0,0,0,17559,0,0,78008,986,0,0,16
"CCSM4","rcp45",2055,4190,48752,70899,67076,56229,74091,36549,0,0,307,0,23989,0,35627,4058,4444,16062,0,0,0,23513,0,0,9772,11213,0,0,821
"CESM1-CAM5","rcp45",2055,3572,39385,65477,70889,54229,77292,25085,0,0,2,0,35714,0,24606,3563,1908,22974,0,0,0,11060,0,0,24761,18827,0,15,249
"CSIRO-Mk3-6-0","rcp45",2055,2813,55044,80617,69899,17781,74559,25909,0,0,6,0,21166,0,15069,2645,374,5214,0,0,0,8650,0,0,9363,2839,0,56,164
"GISS-E2R","rcp45",2055,4292,2562,47485,46888,32780,80227,53606,0,0,12544,0,40736,0,10561,4292,431,21148,0,0,0,856,0,0,121,12979,0,527,6540
"HadGEM2-ES","rcp45",2055,2008,66512,80854,59533,51041,69867,16424,0,0,0,0,10753,3,27806,1268,1691,5312,0,0,0,17349,0,0,49674,1322,0,0,65
"MIROC-ESM","rcp45",2055,2398,43622,47397,69676,75246,79464,7228,0,0,0,0,31056,0,19344,2411,479,36266,41,0,0,8969,0,0,37635,34552,0,0,1670
"MPI-ESM-LR","rcp45",2055,6590,12734,21939,71744,73138,78547,3147,0,0,0,0,61585,0,7665,6590,25,65566,0,0,0,189,0,0,9047,63640,0,320,5486
"ensemble","rcp45",2085,4661,50614,59195,67054,71444,78112,12759,0,0,0,0,22723,30,24577,2780,4095,26827,0,0,0,15868,0,0,35949,24020,0,1,868
"CanESM2","rcp45",2085,1480,78655,80906,6381,27486,79780,1246,0,0,0,0,345,10109,25728,260,1502,549,0,0,0,14189,0,0,78086,260,0,0,1
"CCSM4","rcp45",2085,5612,47384,58067,70982,70810,78000,28357,0,0,47,0,26201,0,33450,5221,4390,29528,0,0,0,25816,0,0,15497,25109,0,0,1699
"CESM1-CAM5","rcp45",2085,5681,60474,73792,68544,72022,76466,18604,0,0,0,0,11542,0,33278,3074,5168,14246,0,0,0,23399,0,0,43242,10180,0,0,62
"CSIRO-Mk3-6-0","rcp45",2085,3401,62808,79119,71285,44973,76812,18869,0,0,0,0,11917,0,24048,2802,2499,7393,0,0,0,15768,0,0,27904,4571,0,7,60
"GISS-E2R","rcp45",2085,2440,6177,53485,53290,34614,79978,53829,0,0,11756,0,41214,0,14069,2440,261,15729,0,0,0,3711,0,0,473,9952,0,373,3460
"HadGEM2-ES","rcp45",2085,5333,64873,80311,51582,66407,78387,24272,0,0,0,0,6719,5,41395,137,6253,7653,1,0,0,25646,0,0,54363,731,0,0,19
"MIROC-ESM","rcp45",2085,1063,47389,52707,56619,72408,80051,13894,0,0,0,0,21301,0,42483,502,1127,29247,64,0,0,19480,0,0,37909,27927,0,0,325
"MPI-ESM-LR","rcp45",2085,7291,16343,24971,72672,76866,77621,1466,0,0,0,0,57122,0,9763,7291,3,63267,0,0,0,1656,0,0,14360,62419,0,142,4490
