"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,39116,0,516,45516,21170,55848,79772,0,0,1474,0,48734,0,116,79,0,506,79,0,0,0,0,0,0,1644,0,560,1946
"obs","obs",2005,47834,0,19730,42696,32265,47971,76422,0,15,0,0,31667,0,3989,2352,6,5540,2352,0,0,0,0,0,0,4950,0,623,1592
"ensemble","rcp45",2025,44901,0,22547,42900,50850,48382,68702,0,0,0,0,40940,348,42665,8368,1532,27738,8020,0,0,1288,0,0,6,20472,0,420,122
"CanESM2","rcp45",2025,47126,0,54343,45405,45934,57998,77018,0,0,0,0,40845,1884,42268,1982,1263,16228,99,0,0,12677,0,0,5577,2074,0,1930,57
"CCSM4","rcp45",2025,48930,0,40216,40062,38437,45558,73443,0,0,0,0,27556,648,20871,5100,2200,9151,4494,0,0,2185,0,0,408,4434,0,593,83
"CESM1-CAM5","rcp45",2025,44166,0,43967,35702,26103,52560,78068,0,0,0,0,28718,1298,7338,1618,952,1834,326,0,0,1420,0,0,11,2116,0,1511,392
"CSIRO-Mk3-6-0","rcp45",2025,45190,0,29582,41108,25598,53111,78337,0,0,0,0,33785,460,4770,1451,308,1740,992,0,0,472,0,0,0,2328,0,882,492
"GISS-E2R","rcp45",2025,49607,0,7896,52492,32685,52855,78212,0,0,0,0,43471,0,2150,1817,24,5132,1817,0,0,1,0,0,0,4364,0,470,1236
"HadGEM2-ES","rcp45",2025,46756,8,52898,42618,39520,51314,77026,0,0,0,0,31680,1689,24289,2411,1188,6705,742,0,0,6037,0,0,326,2630,0,1702,53
"MIROC-ESM","rcp45",2025,42490,0,2920,56218,74509,54851,76720,0,0,0,0,59866,0,71401,2984,11,57308,2986,0,0,597,0,0,1,39790,0,130,202
"MPI-ESM-LR","rcp45",2025,33152,0,20414,36523,40498,48977,75092,0,0,0,0,50634,640,33268,1825,438,19878,1184,0,0,866,0,0,308,14220,0,1415,1355
"ensemble","rcp45",2055,46618,268,37246,44318,60422,52041,74411,0,0,0,0,40247,2967,61874,3704,2630,30304,1103,0,0,15894,0,0,20298,16152,0,1761,12
"CanESM2","rcp45",2055,73275,217,50736,15232,19774,9488,64208,0,0,0,0,20728,6396,76380,860,1774,25884,748,0,0,12509,0,0,13131,740,0,740,40
"CCSM4","rcp45",2055,47404,0,49820,48613,56610,53821,74364,0,0,0,0,35081,2131,55102,4774,3544,23663,2906,0,0,17249,0,0,9448,6450,0,564,0
"CESM1-CAM5","rcp45",2055,46417,2,45268,43218,54641,55750,74581,0,0,0,0,40480,3854,53932,4072,3515,21579,238,0,0,15526,0,0,20487,10364,0,2467,12
"CSIRO-Mk3-6-0","rcp45",2055,51659,228,57893,39791,45186,57110,77528,0,0,0,0,23026,2185,20530,2138,1600,7348,165,0,0,7384,0,0,5946,2124,0,1945,43
"GISS-E2R","rcp45",2055,44099,0,20852,43459,40182,48326,74958,0,0,0,0,52527,0,19618,3239,216,15688,3239,0,0,368,0,0,1,11338,0,395,1464
"HadGEM2-ES","rcp45",2055,51336,3772,59137,40544,52056,47585,75139,0,0,0,0,29586,2767,60232,1679,2108,16587,434,0,0,21870,0,0,33494,1005,0,902,0
"MIROC-ESM","rcp45",2055,43904,470,33602,47876,64214,54525,73496,0,0,0,0,46691,554,78435,4351,593,36875,3847,0,0,22898,0,0,34767,20375,0,393,0
"MPI-ESM-LR","rcp45",2055,42559,2,11555,51075,71573,53548,73930,0,0,0,0,55057,1126,71552,4942,762,48779,3817,0,0,5546,0,0,8877,35657,0,1366,291
"ensemble","rcp45",2085,46754,52,41450,44066,60999,50454,74160,0,0,0,0,40229,5121,73739,3792,4380,33349,1940,0,0,24259,0,0,29807,13131,0,1288,5
"CanESM2","rcp45",2085,76035,1,47671,12804,25725,9879,64856,0,0,0,0,17828,12801,79917,400,1327,31120,624,0,0,13411,0,0,13590,197,0,188,44
"CCSM4","rcp45",2085,44436,0,40713,49538,62989,53984,74054,0,0,0,0,40790,1669,71026,5019,3176,35567,3903,0,0,20974,0,0,15089,13755,0,470,0
"CESM1-CAM5","rcp45",2085,46922,38,52450,42126,57410,48778,73023,0,0,0,0,37097,6052,72072,4226,6014,27604,1362,0,0,31446,0,0,37565,5877,0,2253,0
"CSIRO-Mk3-6-0","rcp45",2085,49966,54,56843,40177,52828,52296,74144,0,0,0,0,27275,5027,46020,3576,3724,15751,389,0,0,19988,0,0,23333,3034,0,2067,6
"GISS-E2R","rcp45",2085,43306,0,26387,43818,40487,52260,76987,0,0,0,0,50244,86,22347,1892,188,13167,1805,0,0,1724,0,0,38,8244,0,366,789
"HadGEM2-ES","rcp45",2085,53670,1186,55274,36657,49377,41423,75044,0,0,0,0,31781,8003,78712,1248,5013,30397,2966,0,0,29696,0,0,34144,641,0,89,0
"MIROC-ESM","rcp45",2085,48210,360,35808,48078,58643,49572,68158,0,0,0,0,41976,1543,79747,5976,999,49583,5860,0,0,27182,0,0,28737,18002,0,132,0
"MPI-ESM-LR","rcp45",2085,43329,2,14733,50612,71644,53260,73045,0,0,0,0,53638,2219,75155,5523,1482,48302,3304,0,0,9148,0,0,13336,34560,0,2326,119
