"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,172,2,14496,54427,21606,75884,79682,0,0,1474,0,48972,0,79,79,0,500,79,0,0,0,0,0,0,1644,0,560,2185
"obs","obs",2005,62,4,18332,55369,8908,70737,65105,0,0,0,0,29078,0,73,73,0,636,73,0,0,0,0,0,0,2524,0,331,1638
"ensemble","rcp45",2025,96,4,11962,47502,15823,69212,60486,0,0,0,0,28406,0,79,76,0,768,56,0,0,0,0,0,0,2026,0,53,739
"CanESM2","rcp45",2025,162,4,27783,49454,15288,73304,58321,0,0,0,0,28887,0,92,24,0,729,0,0,0,0,0,0,0,1535,0,253,134
"CCSM4","rcp45",2025,77,4,24495,47850,4974,60999,49948,0,0,0,0,21013,0,80,62,0,782,34,0,0,0,0,0,0,1598,0,45,606
"CESM1-CAM5","rcp45",2025,66,4,21718,50231,2832,66041,57223,0,0,0,0,27450,0,77,48,0,604,12,0,0,0,0,0,0,1722,0,274,613
"CSIRO-Mk3-6-0","rcp45",2025,52,4,19201,52278,7717,69680,63788,0,0,0,0,31521,0,74,54,0,626,32,0,0,0,0,0,0,1889,0,245,1054
"GISS-E2R","rcp45",2025,51,4,15866,57968,18568,76800,76827,0,0,0,0,33183,0,77,72,0,609,67,0,0,0,0,0,0,2120,0,274,1337
"HadGEM2-ES","rcp45",2025,82,4,27147,45135,7693,63067,49070,0,0,0,0,22744,0,88,36,0,786,8,0,0,0,0,0,0,1947,0,92,407
"MIROC-ESM","rcp45",2025,22,4,2994,48129,20937,77140,75363,0,0,0,0,36405,0,74,74,0,800,74,0,0,0,0,0,0,2596,0,93,1054
"MPI-ESM-LR","rcp45",2025,130,4,10048,41740,16778,71482,72537,0,0,0,0,36384,0,77,61,0,602,32,0,0,0,0,0,0,2202,0,358,1342
"ensemble","rcp45",2055,128,3,26092,44382,17494,73830,53419,0,0,0,0,26828,0,85,43,0,753,11,0,0,0,0,0,0,1614,0,208,174
"CanESM2","rcp45",2055,58,3,28377,14109,21811,60570,21695,0,0,0,0,17828,0,80,1,0,670,0,0,0,0,0,0,0,554,0,222,40
"CCSM4","rcp45",2055,93,4,27814,45480,18130,69594,46494,0,0,0,0,19524,0,84,49,0,821,10,0,0,0,0,0,0,1212,0,60,288
"CESM1-CAM5","rcp45",2055,148,3,25584,45431,16145,73861,55839,0,0,0,0,27397,0,82,45,0,726,0,0,0,0,0,0,0,1820,0,251,114
"CSIRO-Mk3-6-0","rcp45",2055,102,4,28322,53478,6592,72069,47707,0,0,0,0,17738,0,90,30,0,738,0,0,0,0,0,0,0,1468,0,223,108
"GISS-E2R","rcp45",2055,110,2,18455,48049,16578,74510,74062,0,0,0,0,33476,0,71,62,0,662,59,0,0,0,0,0,0,2409,0,221,1434
"HadGEM2-ES","rcp45",2055,134,3,26620,37922,19818,63739,38312,0,0,0,0,15244,0,91,28,0,770,0,0,0,0,0,0,0,730,0,179,32
"MIROC-ESM","rcp45",2055,96,3,28170,39800,21708,73945,52948,0,0,0,0,25550,0,79,73,0,832,62,0,0,0,0,0,0,2552,0,89,117
"MPI-ESM-LR","rcp45",2055,78,3,10478,46276,20163,75840,67487,0,0,0,0,34997,0,79,63,0,778,31,0,0,0,0,0,0,2502,0,127,1042
"ensemble","rcp45",2085,98,3,28243,39830,21558,73124,47544,0,0,0,0,21595,0,81,54,0,738,16,0,0,0,0,0,0,1149,0,192,128
"CanESM2","rcp45",2085,12,1,28480,17100,22219,59549,17635,0,0,0,0,12925,0,86,9,0,520,0,0,0,0,0,0,0,153,0,86,35
"CCSM4","rcp45",2085,60,4,28304,43480,21422,73166,48813,0,0,0,0,21256,0,82,60,0,826,23,0,0,0,0,0,0,1142,0,42,304
"CESM1-CAM5","rcp45",2085,143,3,28463,39219,21645,71097,42782,0,0,0,0,14606,0,82,44,0,685,0,0,0,0,0,0,0,771,0,245,4
"CSIRO-Mk3-6-0","rcp45",2085,132,3,28448,47066,15880,72863,43532,0,0,0,0,13858,0,86,40,0,714,4,0,0,0,0,0,0,1476,0,285,32
"GISS-E2R","rcp45",2085,106,4,19705,47704,16216,75518,73793,0,0,0,0,32576,0,89,31,0,661,18,0,0,0,0,0,0,1797,0,160,1020
"HadGEM2-ES","rcp45",2085,79,3,27928,31756,21482,65751,33672,0,0,0,0,12313,0,90,8,0,792,0,0,0,0,0,0,0,486,0,12,9
"MIROC-ESM","rcp45",2085,78,3,28278,42032,21694,65826,46889,0,0,0,0,19974,0,79,62,0,845,29,0,0,0,0,0,0,2211,0,40,58
"MPI-ESM-LR","rcp45",2085,113,3,11327,45406,21316,75170,65466,0,0,0,0,32602,0,80,58,0,782,22,0,0,0,0,0,0,2302,0,136,619
